Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5
02/10/2023,3,13,14,25,30
03/10/2023,1,3,10,16,18
04/10/2023,2,6,8,19,20
05/10/2023,4,10,18,19,28
06/10/2023,1,3,4,21,28
07/10/2023,4,5,16,26,29
08/10/2023,10,13,20,24,30
09/10/2023,4,9,10,14,20
10/10/2023,5,21,23,25,28
11/10/2023,1,15,16,19,20
12/10/2023,1,4,17,19,25
13/10/2023,2,4,9,25,27
14/10/2023,2,7,13,22,23
15/10/2023,18,20,21,22,30
16/10/2023,2,7,13,22,23
17/10/2023,14,17,18,26,30
18/10/2023,4,12,19,26,29
19/10/2023,6,8,18,27,29
20/10/2023,6,11,17,24,30
21/10/2023,1,8,22,23,24
22/10/2023,7,10,15,17,26
23/10/2023,11,12,14,15,17
24/10/2023,1,2,12,19,28
25/10/2023,2,10,18,25,30
26/10/2023,6,10,17,26,29
27/10/2023,10,12,18,20,27
28/10/2023,2,6,12,15,17
29/10/2023,2,3,6,8,27
30/10/2023,1,7,11,18,28
31/10/2023,3,9,15,21,29
01/11/2023,14,15,17,19,26
02/11/2023,6,11,21,25,30
03/11/2023,2,5,18,20,23
04/11/2023,4,14,24,26,30
05/11/2023,6,9,22,26,30
06/11/2023,1,9,14,18,27
07/11/2023,3,6,10,24,28
08/11/2023,1,11,20,21,25
09/11/2023,2,4,12,16,21
10/11/2023,6,12,14,15,19
11/11/2023,8,20,21,25,28
12/11/2023,3,4,15,18,22
13/11/2023,20,21,27,29,30
14/11/2023,4,13,15,20,30
15/11/2023,5,12,16,17,20
16/11/2023,11,20,24,25,26
17/11/2023,4,11,23,26,29
18/11/2023,2,13,19,27,29
19/11/2023,10,11,15,21,29
20/11/2023,1,6,13,19,30
21/11/2023,5,6,8,22,30
22/11/2023,1,5,13,22,30
23/11/2023,7,13,22,24,28
24/11/2023,5,12,18,25,29
25/11/2023,8,12,14,22,28
26/11/2023,12,15,19,26,30
27/11/2023,1,3,7,22,30
28/11/2023,1,12,15,20,27
29/11/2023,3,5,7,17,29
30/11/2023,2,4,11,15,24
01/12/2023,8,10,14,18,25
02/12/2023,1,2,10,17,30
03/12/2023,10,13,17,23,30
04/12/2023,5,9,12,24,27
05/12/2023,9,15,21,23,28
06/12/2023,14,19,22,29,30
07/12/2023,10,11,16,18,20
08/12/2023,11,17,18,19,30
09/12/2023,2,10,21,22,26
10/12/2023,13,15,18,22,27
11/12/2023,7,8,9,11,29
12/12/2023,9,15,18,22,28
13/12/2023,10,14,20,25,26
14/12/2023,4,11,27,28,29
15/12/2023,10,19,20,22,26
16/12/2023,3,4,19,27,29
17/12/2023,10,15,24,27,30
18/12/2023,5,12,24,27,30
19/12/2023,4,5,11,12,19
20/12/2023,10,11,13,24,28
21/12/2023,1,7,11,16,25
22/12/2023,1,2,11,15,30
23/12/2023,17,23,24,25,30
24/12/2023,5,6,10,13,28
25/12/2023,10,15,19,25,27
26/12/2023,12,18,19,25,29
27/12/2023,8,13,23,24,30
28/12/2023,3,19,26,27,29
29/12/2023,1,10,13,19,22
30/12/2023,1,9,14,20,29
31/12/2023,4,6,8,11,20
01/01/2024,4,8,11,21,30
02/01/2024,12,13,19,21,25
03/01/2024,1,10,21,24,28
04/01/2024,1,3,5,13,26
05/01/2024,9,14,15,20,27
06/01/2024,5,12,14,15,16
07/01/2024,2,5,6,16,29
08/01/2024,3,6,10,21,26
09/01/2024,2,12,14,22,24
10/01/2024,16,20,24,25,29
11/01/2024,3,12,19,26,29
12/01/2024,11,13,16,17,22
13/01/2024,1,5,11,19,23
14/01/2024,6,15,17,23,30
15/01/2024,2,5,10,13,20
16/01/2024,5,11,13,22,30
17/01/2024,4,17,19,20,30
18/01/2024,6,21,24,29,30
19/01/2024,2,11,21,29,30
20/01/2024,2,3,10,15,21
21/01/2024,8,9,11,12,14
22/01/2024,1,6,11,13,19
23/01/2024,2,21,24,26,27
24/01/2024,8,19,26,27,28
25/01/2024,1,6,10,15,16
26/01/2024,8,9,14,15,18
27/01/2024,1,5,16,17,27
28/01/2024,14,16,25,26,27
29/01/2024,2,11,12,16,17
30/01/2024,5,8,9,16,17
31/01/2024,3,4,10,12,16
01/02/2024,13,15,23,25,29
02/02/2024,8,12,21,24,27
03/02/2024,1,4,10,24,26
04/02/2024,7,13,19,22,23
05/02/2024,13,18,23,24,28
06/02/2024,1,4,20,21,29
07/02/2024,3,4,19,20,26
08/02/2024,7,9,12,26,30
09/02/2024,9,10,17,24,28
10/02/2024,8,10,19,21,23
11/02/2024,1,7,11,26,29
12/02/2024,6,21,22,24,29
13/02/2024,2,7,17,21,30
14/02/2024,1,17,23,24,25
15/02/2024,2,5,6,18,30
16/02/2024,1,5,10,12,16
17/02/2024,7,11,16,22,30
18/02/2024,3,4,12,20,27
19/02/2024,2,10,13,25,27
20/02/2024,2,9,16,27,29
21/02/2024,6,10,18,19,30
22/02/2024,3,8,9,17,29
23/02/2024,2,12,16,17,20
24/02/2024,1,19,24,26,28
25/02/2024,5,12,14,19,29
26/02/2024,12,13,15,21,23
